City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Date
263,Yokadouma,CM,3.5167,15.05,82.45,61,100,4.81,overcast clouds,2021-10-30 14:57:33
264,Ilulissat,GL,69.2167,-51.1,29.7,81,100,8.86,overcast clouds,2021-10-30 14:57:33
265,Oyama,JP,36.3,139.8,63.59,62,69,5.21,broken clouds,2021-10-30 14:57:34
266,Chokurdakh,RU,70.6333,147.9167,-8.19,96,100,6.69,overcast clouds,2021-10-30 14:57:34
267,Novaya Malykla,RU,54.2,49.95,48.29,83,97,10.27,overcast clouds,2021-10-30 14:57:35
268,Dunedin,NZ,-45.8742,170.5036,59.81,90,0,11.01,clear sky,2021-10-30 14:55:47
269,Prince Rupert,CA,54.3161,-130.3201,44.29,70,100,9.22,overcast clouds,2021-10-30 14:57:35
270,Aktau,KZ,43.65,51.2,52.38,72,0,5.48,clear sky,2021-10-30 14:57:35
271,Parvatsar,IN,26.8833,74.7667,73.4,24,0,5.19,clear sky,2021-10-30 14:57:36
272,Longyearbyen,SJ,78.2186,15.6401,19.24,79,20,5.75,few clouds,2021-10-30 14:57:36
273,Ileza,RU,61.0533,43.9002,43.97,90,100,7.23,overcast clouds,2021-10-30 14:57:36
274,Nome,US,64.5011,-165.4064,10.56,92,24,6.69,few clouds,2021-10-30 14:57:37
275,Mount Isa,AU,-20.7333,139.5,80.37,18,100,11.5,overcast clouds,2021-10-30 14:57:37
276,Sokoto,NG,13.0609,5.239,99.54,8,49,10.71,scattered clouds,2021-10-30 14:54:13
277,La Ronge,CA,55.1001,-105.2842,32.25,80,75,5.75,broken clouds,2021-10-30 14:57:38
278,Gavrilovka Vtoraya,RU,52.877,42.7663,44.78,89,11,9.06,few clouds,2021-10-30 14:57:38
279,Kousseri,CM,12.0769,15.0306,102.16,10,0,6.91,clear sky,2021-10-30 14:57:39
280,Puntarenas,CR,9.9763,-84.8384,84.13,79,100,1.28,overcast clouds,2021-10-30 14:57:39
281,Mackay,AU,-21.15,149.2,76.05,88,7,6.91,clear sky,2021-10-30 14:57:39
282,Madridejos,ES,39.4682,-3.532,64.98,82,100,20.22,overcast clouds,2021-10-30 14:57:40
283,Rawson,AR,-43.3002,-65.1023,56.57,35,1,29.19,clear sky,2021-10-30 14:57:40
